id;name;description;code;points;creation_date;redemption_date
1;Tunisia;../fake-data/blob/hipster.txt;Cambridgeshire;23417;2021-10-25T01:30:28;2021-10-24T02:36:34
2;parse;../fake-data/blob/hipster.txt;platforms Principal standardization;97767;2021-10-24T14:47:02;2021-10-25T00:41:16
3;Engineer Barbuda;../fake-data/blob/hipster.txt;Global deposit transmitter;36772;2021-10-24T15:29:25;2021-10-24T23:13:25
4;yellow;../fake-data/blob/hipster.txt;Plastic Handcrafted Digitized;3561;2021-10-25T00:02:14;2021-10-24T18:48:36
5;Jordanian;../fake-data/blob/hipster.txt;enable Ergonomic;42141;2021-10-25T00:47:57;2021-10-24T05:28:18
6;Concrete Frozen;../fake-data/blob/hipster.txt;bluetooth invoice contextually-based;77465;2021-10-24T03:58:25;2021-10-24T11:44:18
7;Handmade system;../fake-data/blob/hipster.txt;payment Beauty Connecticut;25995;2021-10-24T17:04:31;2021-10-24T05:27:27
8;sensor calculate Inverse;../fake-data/blob/hipster.txt;up Borders portal;96024;2021-10-24T10:30:55;2021-10-24T15:49:32
9;Computers;../fake-data/blob/hipster.txt;Lebanese Reduced;37243;2021-10-24T11:53:16;2021-10-24T23:52:25
10;Account Berkshire;../fake-data/blob/hipster.txt;Wooden Bedfordshire Account;77677;2021-10-24T17:05:46;2021-10-24T18:26:43
