id;points;website;x;y;image;image_content_type;color
1;19663;Walk;35172;91192;../fake-data/blob/hipster.png;image/png;sky blue
2;42817;Jamaica THX Centralized;22705;45101;../fake-data/blob/hipster.png;image/png;ivory
3;45022;Cotton Guinea-Bissau;80207;98428;../fake-data/blob/hipster.png;image/png;ivory
4;28103;Green;15206;60745;../fake-data/blob/hipster.png;image/png;purple
5;75815;Ariary;46230;81107;../fake-data/blob/hipster.png;image/png;violet
6;71081;Small withdrawal;73687;67070;../fake-data/blob/hipster.png;image/png;black
7;28917;payment Intelligent regional;92874;62533;../fake-data/blob/hipster.png;image/png;lavender
8;97050;Savings;62856;97922;../fake-data/blob/hipster.png;image/png;fuchsia
9;53416;action-items Fish Crossroad;76320;96458;../fake-data/blob/hipster.png;image/png;orchid
10;30511;redundant;91461;59250;../fake-data/blob/hipster.png;image/png;lime
