id;title;value;description;coupon_nr;used
1;Beauty Pizza optimizing;15946;../fake-data/blob/hipster.txt;calculate;false
2;moderator Hat Sleek;87617;../fake-data/blob/hipster.txt;local Borders;true
3;Fantastic quantifying program;200;../fake-data/blob/hipster.txt;Timor-Leste;false
4;Cotton SCSI Customer;86498;../fake-data/blob/hipster.txt;generating bandwidth-monitored Metal;true
5;copy;96863;../fake-data/blob/hipster.txt;feed Jewelery;false
6;Towels bypassing Intranet;82158;../fake-data/blob/hipster.txt;firewall Regional;false
7;York system Table;71742;../fake-data/blob/hipster.txt;Heard Public-key;false
8;Internal;49005;../fake-data/blob/hipster.txt;transition Research Account;false
9;intermediate;90678;../fake-data/blob/hipster.txt;transmitter contextually-based;false
10;withdrawal Corporate Soft;67242;../fake-data/blob/hipster.txt;strategize Personal;false
