id;name;logo;logo_content_type;active;active_owner;description;address;motto;phone;web_address;category
1;Response Nevada Metal;../fake-data/blob/hipster.png;image/png;false;true;../fake-data/blob/hipster.txt;Berkshire Future-proofed;brand;825-461-0681 x6428;Tuna Buckinghamshire;MISCELLANEOUS
2;Granite;../fake-data/blob/hipster.png;image/png;true;true;../fake-data/blob/hipster.txt;Division Gorgeous;scalable;495.711.9038 x0661;Cotton;CLEANINGSERVICE
3;Books;../fake-data/blob/hipster.png;image/png;false;false;../fake-data/blob/hipster.txt;Directives;Practical;724.468.5360;Account;ELECTRONICSTECHNICIAN
4;Planner Marketing;../fake-data/blob/hipster.png;image/png;true;false;../fake-data/blob/hipster.txt;Estates Idaho;Shoes Data;482-613-0808 x76008;rich Future;CLEANINGSERVICE
5;Kentucky Principal;../fake-data/blob/hipster.png;image/png;true;false;../fake-data/blob/hipster.txt;Wooden;Account;206-361-2133 x014;feed;SECURITAS
6;Investor improvement interface;../fake-data/blob/hipster.png;image/png;true;true;../fake-data/blob/hipster.txt;Kyrgyz;Mali Factors Nebraska;(659) 321-0033;GB Dynamic;SANITARY
7;driver Switchable Sleek;../fake-data/blob/hipster.png;image/png;true;true;../fake-data/blob/hipster.txt;redundant;streamline Home reboot;1-303-734-9828;Producer;BAND
8;Shirt;../fake-data/blob/hipster.png;image/png;true;false;../fake-data/blob/hipster.txt;Account hacking;online analyzing;(390) 439-8331 x079;Jordan Response maximize;SANITARY
9;Cambridgeshire GB Functionality;../fake-data/blob/hipster.png;image/png;true;true;../fake-data/blob/hipster.txt;Ukraine emulation;Hampshire;(548) 216-2030 x240;withdrawal;SHUTTLESERVICE
10;Delaware primary;../fake-data/blob/hipster.png;image/png;true;true;../fake-data/blob/hipster.txt;Maldives;violet Points Representative;1-535-761-4408;protocol;SANITARY
