id;name;description;date_start;date_end;category;price;flyer;flyer_content_type;youtube;private_or_public;active;min_placenumber;placenumber;investment;status;definitely_confirmed;motto;billed;stars;billed_organisator;billede_create_your_event
1;Tuna integrated deposit;../fake-data/blob/hipster.txt;2021-10-24T15:48:04;2021-10-24T17:32:28;NEWYEAR;67475;../fake-data/blob/hipster.png;image/png;bluetooth Cambridgeshire fuchsia;back-end Account;false;74409;16562;17740;PROCESSING;false;Israel 24/7;false;26490;true;true
2;copying;../fake-data/blob/hipster.txt;2021-10-24T09:38:23;2021-10-24T11:46:39;NEWYEAR;31594;../fake-data/blob/hipster.png;image/png;Human;connecting;true;1669;83889;83746;PROCESSING;false;hack portals Ergonomic;true;57720;false;true
3;Auto empowering discrete;../fake-data/blob/hipster.txt;2021-10-24T04:04:13;2021-10-24T03:41:19;BIRTHDAY;88809;../fake-data/blob/hipster.png;image/png;withdrawal withdrawal;Garden;false;8997;12008;69803;PROCESSING;true;Bedfordshire deposit;false;94855;true;true
4;auxiliary Direct mint;../fake-data/blob/hipster.txt;2021-10-24T05:06:09;2021-10-24T17:01:24;INDOOR;68613;../fake-data/blob/hipster.png;image/png;real-time Computer International;Shoal;true;28763;63235;81029;PROCESSING;false;user-centric Buckinghamshire;true;27232;true;false
5;Movies;../fake-data/blob/hipster.txt;2021-10-25T01:26:03;2021-10-24T14:34:03;BIRTHDAY;49036;../fake-data/blob/hipster.png;image/png;American;Hill Prairie;true;30193;13090;57943;DEFINITELY;false;Steel Salad Georgia;true;59711;true;true
6;calculating;../fake-data/blob/hipster.txt;2021-10-24T12:28:30;2021-10-25T01:48:19;NATIONAL_HOLYDAY;60189;../fake-data/blob/hipster.png;image/png;PCI e-enable Principal;architecture;false;64427;20318;15345;DEFINITELY;true;Steel Electronics streamline;false;67033;true;true
7;New Intelligent cyan;../fake-data/blob/hipster.txt;2021-10-24T08:06:32;2021-10-24T05:44:23;NEWYEAR;18634;../fake-data/blob/hipster.png;image/png;Investor Dominica;holistic Savings;true;13568;68769;1777;PROCESSING;true;Home invoice;false;11086;false;true
8;Alaska navigate;../fake-data/blob/hipster.txt;2021-10-24T23:49:46;2021-10-25T02:22:18;NEWYEAR;67816;../fake-data/blob/hipster.png;image/png;full-range Generic;Arabia Trafficway;true;1507;9273;85355;PROCESSING;true;Moldovan;true;93103;true;true
9;Refined Configuration;../fake-data/blob/hipster.txt;2021-10-24T20:34:36;2021-10-24T17:14:19;NATIONAL_HOLYDAY;3153;../fake-data/blob/hipster.png;image/png;efficient;Specialist Concrete Operations;true;16992;46408;16504;PROCESSING;true;Human Cove;false;72636;false;true
10;HDD Rial;../fake-data/blob/hipster.txt;2021-10-24T13:36:09;2021-10-24T22:11:15;INDOOR;10767;../fake-data/blob/hipster.png;image/png;Orchestrator Garden;deposit;false;44172;86380;36217;PROCESSING;false;Wallis Oklahoma quantifying;false;22122;true;true
