id;jhi_like;dislike;date;comment
1;50485;21851;2021-10-24T21:29:02;transmit compress Ways
2;86332;98597;2021-10-24T08:06:59;Electronics 5th
3;92206;54172;2021-10-24T12:12:39;standardization cross-media Avon
4;70425;35855;2021-10-24T06:36:15;Market circuit
5;53614;48229;2021-10-24T18:22:51;migration
6;53631;3225;2021-10-24T08:02:59;frictionless
7;13220;61136;2021-10-24T02:34:38;Shoals transform International
8;9030;88268;2021-10-25T00:26:54;Wooden
9;29248;25293;2021-10-24T20:28:58;Garden
10;62037;87935;2021-10-24T04:20:27;card
