id;amount;total;date;rental_period;date_from;date_until;status;billed;seen;approved;selling_price
1;49134;48085;2021-10-24T09:50:38;7368;2021-10-24T14:24:39;2021-10-24T17:21:48;BOOKED;false;true;false;83764
2;8781;85537;2021-10-25T00:05:00;82209;2021-10-24T05:07:17;2021-10-24T20:58:28;BACK;true;true;true;44089
3;9887;58511;2021-10-24T14:56:39;81122;2021-10-24T05:49:43;2021-10-24T04:00:53;BOOKED;false;false;true;16921
4;1448;29173;2021-10-24T23:42:17;4726;2021-10-24T23:40:28;2021-10-24T21:43:05;BOOKED;false;true;false;16644
5;42641;42164;2021-10-24T08:53:13;50718;2021-10-24T04:26:11;2021-10-24T09:56:04;BOOKED;true;false;false;21684
6;67577;21509;2021-10-24T13:13:29;15531;2021-10-25T00:52:09;2021-10-24T10:57:25;BOOKED;false;true;false;62297
7;40333;29833;2021-10-24T19:21:56;50203;2021-10-24T19:53:05;2021-10-24T21:46:49;BOOKED;false;true;false;91339
8;41557;42723;2021-10-25T00:01:14;22356;2021-10-24T16:36:14;2021-10-25T00:06:58;BACK;false;false;true;12094
9;39223;11127;2021-10-24T08:43:06;94452;2021-10-24T05:53:41;2021-10-24T23:00:48;BACK;true;true;false;83515
10;99575;57292;2021-10-24T04:25:12;40831;2021-10-24T07:18:42;2021-10-24T20:25:11;BOOKED;true;true;false;57134
