id;jhi_like;dislike;date;comment
1;61780;27698;2021-10-24T02:27:42;mobile Bike
2;80666;87314;2021-10-24T09:14:10;AGP
3;39289;69211;2021-10-24T22:48:56;Account Peso navigating
4;16927;60783;2021-10-24T10:44:22;Analyst
5;16084;78039;2021-10-24T09:10:01;Public-key experiences
6;52827;44109;2021-10-24T13:35:40;mobile
7;22575;45005;2021-10-25T02:13:35;invoice
8;52664;55938;2021-10-24T07:31:01;Buckinghamshire Ergonomic Bahraini
9;39286;83162;2021-10-24T20:07:03;lavender
10;52984;15059;2021-10-24T18:15:32;Account
