id;date;date_from;date_until;cost_hour;ride_costs;total;total_hours;kilometre;billed;seen;approved
1;2021-10-24T09:46:42;2021-10-24T07:37:55;2021-10-24T21:23:31;6334;56233;24509;Account ubiquitous;25118;false;false;true
2;2021-10-24T16:53:39;2021-10-25T00:19:04;2021-10-24T03:02:47;81529;65528;64210;solutions;1398;false;false;true
3;2021-10-24T06:12:24;2021-10-24T08:35:16;2021-10-24T23:14:15;70378;80270;40829;Germany;35832;false;false;false
4;2021-10-24T14:51:14;2021-10-24T10:05:30;2021-10-24T05:50:07;53650;5837;78763;enterprise Kwacha;11927;true;true;true
5;2021-10-24T20:30:20;2021-10-24T04:43:13;2021-10-25T00:24:17;33510;11552;38866;Lebanese port Minnesota;42156;false;false;true
6;2021-10-25T02:13:30;2021-10-24T14:56:10;2021-10-24T07:53:00;70538;55470;27956;North Madagascar;65333;false;false;false
7;2021-10-24T07:48:05;2021-10-24T18:56:27;2021-10-24T18:52:24;15084;94666;55272;Internal;32903;false;false;false
8;2021-10-24T17:03:11;2021-10-24T17:24:48;2021-10-24T12:50:33;23267;56588;19776;Texas Architect Cheese;7394;true;false;false
9;2021-10-24T18:32:20;2021-10-24T15:24:48;2021-10-24T09:44:27;52726;73521;95644;Berkshire;28227;true;true;true
10;2021-10-24T14:46:52;2021-10-24T15:11:38;2021-10-24T19:05:07;87787;49405;85014;mindshare Iceland;39149;true;false;true
