id;title;description;photo;photo_content_type;points;active;stock
1;magenta;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;36922;false;26603
2;Solutions productivity focus;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;16066;true;62863
3;Steel;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;78300;true;39451
4;Frozen override;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;11423;true;19705
5;visualize multi-state frictionless;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;30485;false;42623
6;Account transmit;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;27324;true;90835
7;Directives;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;52988;false;25348
8;Bolivar;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;63730;false;14237
9;Pre-emptive;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;88538;false;81663
10;Innovative pink District;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;15050;false;94726
