id;title;artists;duration;url
1;Island enable;SCSI;27908;http://zachary.com
2;Directives Argentine Applications;e-business;13093;https://jules.org
3;Global visionary Upgradable;engage;88937;http://joshua.biz
4;improvement Balboa;Savings connecting;58100;https://alvena.org
5;Dollar tangible Books;Incredible navigate Proactive;65013;https://felton.net
6;capacitor Ergonomic Egyptian;microchip;95884;https://nia.biz
7;Analyst Wisconsin Communications;auxiliary;13023;http://bell.com
8;Fresh;FTP;95888;http://dustin.name
9;deposit workforce calculating;open-source;43839;https://emanuel.name
10;neural Plastic;Barbados Shirt back-end;3183;http://alan.biz
