id;jhi_like;dislike;date;comment
1;75670;44425;2021-10-24T04:45:01;Maryland Concrete
2;98222;86233;2021-10-24T07:49:20;SMS
3;55593;55374;2021-10-24T18:28:57;multi-tasking Metal
4;74627;85771;2021-10-24T06:07:42;neutral
5;71581;789;2021-10-24T12:29:11;convergence analyzing
6;89388;90270;2021-10-24T05:45:04;Station
7;25940;46372;2021-10-24T14:55:59;Corporate
8;95780;31240;2021-10-24T21:05:38;online
9;48550;77534;2021-10-24T09:26:38;Representative
10;28768;54866;2021-10-24T18:03:29;Russian bandwidth Fish
