id;date;date_from;date_until;seen;approved;total;fee_billed
1;2022-01-19T03:00:45;2022-01-19T13:09:59;2022-01-19T07:17:30;false;true;43208;false
2;2022-01-19T16:16:11;2022-01-19T23:05:32;2022-01-19T03:00:12;false;true;95633;true
3;2022-01-20T00:37:37;2022-01-19T02:45:39;2022-01-19T03:02:53;true;false;49472;false
4;2022-01-19T19:47:46;2022-01-19T16:48:00;2022-01-19T15:32:05;false;true;49461;false
5;2022-01-19T23:18:47;2022-01-19T20:07:40;2022-01-19T14:55:54;false;true;44886;false
6;2022-01-19T02:56:53;2022-01-19T20:58:03;2022-01-19T11:56:46;false;true;51077;false
7;2022-01-19T19:37:24;2022-01-19T07:53:19;2022-01-19T08:46:19;false;true;25013;true
8;2022-01-19T16:04:04;2022-01-19T06:27:38;2022-01-19T11:52:38;true;true;47549;false
9;2022-01-20T00:20:14;2022-01-19T18:30:09;2022-01-19T13:33:18;false;true;67991;false
10;2022-01-19T07:30:48;2022-01-19T14:53:33;2022-01-19T22:42:35;true;false;58398;true
