id;jhi_key;name;key_name;description;key_description;category;points;count_per_day;creation_date
1;Generic Gloves Knoll;turquoise maroon Programmable;orchid;../fake-data/blob/hipster.txt;Generic withdrawal relationships;COMMENT;46943;69332;2021-10-24T11:25:33
2;Mandatory Nebraska;Cove Adaptive Credit;payment deposit Human;../fake-data/blob/hipster.txt;Unbranded paradigms;SHOP;52577;48118;2021-10-24T06:36:44
3;demand-driven Computers schemas;deliver Gorgeous deposit;Albania;../fake-data/blob/hipster.txt;Programmable Pierre;SHOP;21819;89450;2021-10-24T23:11:04
4;Illinois;robust Concrete Steel;Terrace;../fake-data/blob/hipster.txt;Account;RATING;38959;48309;2021-10-25T01:30:07
5;pink Car;Fresh orchestrate Rand;Nebraska;../fake-data/blob/hipster.txt;withdrawal Cayman Right-sized;COMMENT;70754;46776;2021-10-24T07:30:38
6;Orchestrator Handmade;Garden Indiana auxiliary;invoice circuit Ergonomic;../fake-data/blob/hipster.txt;Cotton local;MISCELLANEOUS;25656;53226;2021-10-24T11:09:31
7;enable task-force iterate;International Orchestrator navigating;methodology Berkshire interface;../fake-data/blob/hipster.txt;Via Wooden;PRODUCT;75543;48981;2021-10-24T15:22:00
8;Mobility global;hacking primary;withdrawal Idaho Small;../fake-data/blob/hipster.txt;Ergonomic deposit white;SERVICE;82828;3607;2021-10-24T12:52:52
9;Ball Movies Virginia;Fantastic rich;transition Cambodia Investment;../fake-data/blob/hipster.txt;Granite Central;COMMENT;88210;95255;2021-10-24T17:45:53
10;Music Berkshire reintermediate;Awesome Automated;Verde;../fake-data/blob/hipster.txt;Cotton;MISCELLANEOUS;1753;59351;2021-10-24T15:37:49
