id;title;keywords;description;date_added;date_modified;price_type;rent_type;price;photo;photo_content_type;photo_2;photo_2_content_type;photo_3;photo_3_content_type;youtube;active;stock;product_type;item_number;status;unit;amount;motto
1;Steel;Assistant;../fake-data/blob/hipster.txt;2021-10-24T12:35:58;2021-10-24T06:52:22;SELL;HOURLY;90460;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;navigate wireless Handmade;true;92572;LIGHTSHOW;Pound;PROCESSING;TONNE;6602;deposit Centers Metal
2;models partnerships Infrastructure;transmitting New Bedfordshire;../fake-data/blob/hipster.txt;2021-10-24T11:50:05;2021-10-24T09:29:37;RENT;HOURLY;32770;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Drive Australian;false;23281;REAL_ESTATE;Computer CFP orange;NEW;CENTIMETER;94963;Identity Dynamic Sports
3;Mexico yellow Cape;Ethiopia;../fake-data/blob/hipster.txt;2021-10-24T10:28:20;2021-10-24T15:20:42;SELL;HALFDAY;86573;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Liaison;false;14900;MUSIC;Center black pixel;NEW;METER;78380;Renminbi rich South
4;virtual Stand-alone Fantastic;Buckinghamshire;../fake-data/blob/hipster.txt;2021-10-25T00:14:56;2021-10-24T15:47:00;RENT;HOURLY;95618;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Data;true;35940;FOOD;Harbors Automotive;PROCESSING;METER;4460;system-worthy
5;Steel;full-range;../fake-data/blob/hipster.txt;2021-10-24T02:47:58;2021-10-24T07:29:21;SELL;HOURLY;91979;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Ukraine;true;6909;REAL_ESTATE;Dinar;COMPLETED;LITER;75091;Arkansas Kids IB
6;Algeria Rustic;Taka;../fake-data/blob/hipster.txt;2021-10-24T04:39:04;2021-10-24T18:13:44;RENT;DAY;10899;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Chief interactive;true;80985;MUSIC;Home Vista Bedfordshire;NEW;GRAM;64290;e-services Security Colombian
7;project bypassing;non-volatile Technician;../fake-data/blob/hipster.txt;2021-10-24T07:56:19;2021-10-24T16:04:12;RENT;HALFDAY;32945;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Concrete capability synthesizing;false;34015;FOOD;Paradigm;NEW;KILOGRAM;60568;infomediaries Electronics
8;Vista;generating;../fake-data/blob/hipster.txt;2021-10-24T07:49:21;2021-10-24T16:33:08;SELL;HALFDAY;51148;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;portals Chicken;false;47745;LIGHTSHOW;pixel Dollar;NEW;MILLIMETER;8574;Specialist
9;Keyboard;Producer;../fake-data/blob/hipster.txt;2021-10-24T14:09:01;2021-10-24T07:20:05;SELL;DAY;29877;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Iran;true;6340;MISCELLANEOUS;Jersey;COMPLETED;DECILITER;87062;deposit orange withdrawal
10;copying Jersey circuit;revolutionize Orchestrator Directives;../fake-data/blob/hipster.txt;2021-10-24T10:26:19;2021-10-24T13:04:57;SELL;HALFDAY;86758;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Mouse redundant content;true;59365;REAL_ESTATE;Functionality multi-tasking;PROCESSING;CENTILITER;7824;Plastic
