id;jhi_like;dislike;date;comment
1;54024;80186;2021-10-25T00:15:56;multi-byte content User-friendly
2;62778;72651;2021-10-24T11:37:17;orchestrate Cedi
3;56601;59598;2021-10-25T02:04:34;Sudanese Profound SCSI
4;52794;5995;2021-10-24T13:14:14;override
5;35483;44759;2021-10-25T00:49:01;haptic Senior
6;52984;86006;2021-10-24T12:13:36;fuchsia cutting-edge
7;97891;62093;2021-10-24T02:30:19;Ecuador
8;44374;30814;2021-10-24T12:09:19;synthesize transmit
9;49787;96575;2021-10-24T16:37:52;expedite
10;55418;47819;2021-10-24T17:59:26;Buckinghamshire Savings
