id;date;billed;access_event;access_date;td_tx_id
1;2021-10-24T12:38:40;false;true;2021-10-24T18:21:10;distributed Rapid Triple-buffered
2;2021-10-24T05:52:46;false;true;2021-10-24T19:19:43;Viaduct synthesizing
3;2021-10-24T04:12:21;true;true;2021-10-24T03:48:29;Viaduct
4;2021-10-24T14:23:43;true;false;2021-10-24T12:12:46;white seamless connecting
5;2021-10-24T03:19:52;true;true;2021-10-24T16:29:36;transmit green Islands
6;2021-10-24T23:55:58;false;false;2021-10-24T05:34:16;Computer
7;2021-10-24T15:18:01;true;true;2021-10-24T07:42:07;reboot matrix synergies
8;2021-10-24T06:07:38;false;true;2021-10-24T14:37:23;Account Account ivory
9;2021-10-24T14:01:25;false;false;2021-10-24T08:20:45;Mountain
10;2021-10-24T09:23:05;false;true;2021-10-24T04:57:07;Loti navigating
