id;jhi_like;dislike;date;comment
1;7026;85743;2021-10-24T08:49:58;Sleek Gold vertical
2;93853;89842;2021-10-24T07:56:32;Leu Tasty Table
3;48608;98571;2021-10-24T18:58:39;Parkways withdrawal Pizza
4;2545;73486;2021-10-24T14:51:52;Executive orchestrate
5;80182;82878;2021-10-25T01:54:39;SAS Dinar Plain
6;408;92686;2021-10-24T03:09:52;Handmade
7;96877;94994;2021-10-24T02:44:32;Brazil Solutions Bike
8;64766;57699;2021-10-24T09:26:47;Granite Malta infrastructure
9;13214;39673;2021-10-24T23:34:12;Industrial
10;17248;69658;2021-10-24T04:09:21;Consultant utilize
