id;name;product_type;logo;logo_content_type;active;active_owner;description;address;motto;phone;web_address
1;Summit quantify Metal;DRINK;../fake-data/blob/hipster.png;image/png;false;false;../fake-data/blob/hipster.txt;architectures Games Legacy;grey;1-871-392-8246;Face
2;best-of-breed Savings overriding;LIGHTSHOW;../fake-data/blob/hipster.png;image/png;false;true;../fake-data/blob/hipster.txt;Florida digital;Pre-emptive Mouse Market;1-729-299-0716;Functionality
3;enable;MISCELLANEOUS;../fake-data/blob/hipster.png;image/png;true;true;../fake-data/blob/hipster.txt;Fundamental transmit;Berkshire;695-464-4404 x164;seize Programmable
4;convergence Unbranded orchestration;MISCELLANEOUS;../fake-data/blob/hipster.png;image/png;true;false;../fake-data/blob/hipster.txt;Avon;deposit;(422) 702-0741 x039;regional Rubber
5;Utah bandwidth;FOOD;../fake-data/blob/hipster.png;image/png;true;false;../fake-data/blob/hipster.txt;Investor;Knoll;1-650-264-9250;Face
6;emulation Music uniform;MUSIC;../fake-data/blob/hipster.png;image/png;false;true;../fake-data/blob/hipster.txt;Brunei index Car;Berkshire;514.347.4314;back-end
7;haptic withdrawal;FOOD;../fake-data/blob/hipster.png;image/png;true;true;../fake-data/blob/hipster.txt;Balanced structure static;client-server;303-944-4155 x0364;Rapids empowering Fish
8;Integration Congolese ivory;REAL_ESTATE;../fake-data/blob/hipster.png;image/png;false;true;../fake-data/blob/hipster.txt;Quality;Alabama;544.672.1752;Multi-tiered
9;JBOD auxiliary Nevada;DRINK;../fake-data/blob/hipster.png;image/png;false;false;../fake-data/blob/hipster.txt;Fantastic Wooden;Village Sausages;(631) 250-7124;Shoes
10;synergies;DECORATION;../fake-data/blob/hipster.png;image/png;true;false;../fake-data/blob/hipster.txt;Squares redundant;mobile Marks violet;1-772-895-0170;Florida
