id;jhi_like;dislike;date;comment
1;89376;84151;2021-10-24T22:06:46;Peso
2;19215;32195;2021-10-24T04:50:47;Jewelery transmit
3;60003;22412;2021-10-24T08:03:13;Canyon generate Industrial
4;96152;5569;2021-10-24T17:04:15;Grocery
5;23470;61638;2021-10-24T15:36:40;Directives transmit
6;43262;96468;2021-10-25T00:38:00;Centralized navigate
7;48777;24989;2021-10-25T00:30:06;open-source
8;98881;42140;2021-10-24T19:20:48;RAM
9;7655;3452;2021-10-24T18:00:42;extend
10;21850;48920;2021-10-24T09:26:00;indexing
