id;amount;total;date;ref_no;access_date;tickets_used
1;74562;34742;2021-12-17T09:11:09;Grocery;2021-12-17T06:38:03;68523
2;30569;23606;2021-12-17T10:14:51;Shoes users Industrial;2021-12-17T06:17:13;7943
3;95176;67729;2021-12-17T10:18:51;Licensed;2021-12-17T15:30:18;65011
4;83757;67942;2021-12-17T12:55:40;executive;2021-12-17T17:23:06;57707
5;13383;24010;2021-12-17T20:52:29;invoice Games;2021-12-17T19:11:34;33397
6;30246;36169;2021-12-17T05:08:26;Unbranded systems Toys;2021-12-18T00:16:13;64090
7;4948;21261;2021-12-17T17:46:35;payment;2021-12-17T23:39:54;32788
8;9518;32198;2021-12-17T22:45:10;Outdoors Fantastic Crest;2021-12-17T12:53:19;70280
9;683;59137;2021-12-17T13:42:09;deposit Cotton Compatible;2021-12-17T07:54:40;40553
10;94140;42221;2021-12-17T21:12:14;deposit;2021-12-18T02:04:31;91637
