id;description;start;end;cost_hour;total;billing_type;user_type
1;Buckinghamshire Computers neural;2021-10-24T16:39:27;2021-10-24T08:34:44;59979;71917;BILLING;USER
2;content;2021-10-24T23:09:42;2021-10-24T08:32:26;6572;7757;OFFER;ORGANIZER
3;blockchains;2021-10-25T01:41:32;2021-10-24T02:33:50;56248;60433;OFFER;SERVICE
4;incubate Account;2021-10-24T03:05:07;2021-10-24T12:47:04;95424;81462;BILLING;ORGANIZER
5;Toys redefine;2021-10-24T14:13:53;2021-10-24T05:19:25;27823;87732;BILLING;ORGANIZER
6;Awesome Books Senior;2021-10-24T14:38:30;2021-10-25T00:31:48;41878;93520;OFFER;ORGANIZER
7;HDD;2021-10-24T03:35:36;2021-10-24T19:43:16;72250;89806;OFFER;ORGANIZOR
8;Greece;2021-10-24T10:08:14;2021-10-24T16:04:05;28897;32103;OFFER;ORGANIZER
9;harness bifurcated payment;2021-10-24T10:15:20;2021-10-24T14:56:03;3197;90458;OFFER;USER
10;parse;2021-10-25T01:57:32;2021-10-24T21:37:05;37478;88279;OFFER;SERVICE
